case_name,swarm_size,w,c1,c2,max_iterations,seed,best_weighted,makespan,total_cost,runtime
single_small,20,0.8,1.7,1.7,150,1068,265.1914866822077,265.1914866822077,0.0,12.319538831710815
single_small,20,0.8,1.7,1.7,250,1069,266.1624796124827,266.1624796124827,0.0,14.608141899108887
single_small,20,0.8,1.7,1.7,250,1070,264.7992973210364,264.7992973210364,0.0,14.661133050918579
single_small,20,0.8,1.7,1.7,250,1071,289.33298130742423,289.33298130742423,0.0,14.270442962646484
single_small,20,0.8,2.2,2.2,80,1072,284.50606802688344,284.50606802688344,0.0,4.827141284942627
single_small,20,0.8,2.2,2.2,80,1073,265.30390189520625,265.30390189520625,0.0,5.249356031417847
single_small,20,0.8,2.2,2.2,80,1074,284.75123202106414,284.75123202106414,0.0,4.7400901317596436
single_small,20,0.8,2.2,2.2,150,1075,272.99909502262443,272.99909502262443,0.0,9.627901077270508
single_small,20,0.8,2.2,2.2,150,1076,273.0537764350453,273.0537764350453,0.0,12.279727220535278
single_small,20,0.8,2.2,2.2,150,1077,286.45419765857184,286.45419765857184,0.0,8.904579877853394
single_small,20,0.8,2.2,2.2,250,1078,269.29040303496976,269.29040303496976,0.0,16.13136386871338
single_small,20,0.8,2.2,2.2,250,1079,270.5696868503066,270.5696868503066,0.0,15.89339280128479
single_small,20,0.8,2.2,2.2,250,1080,268.6238952750008,268.6238952750008,0.0,19.303850889205933
single_small,40,0.3,1.2,1.2,80,1081,261.5767255157191,261.5767255157191,0.0,9.931018114089966
single_small,40,0.3,1.2,1.2,80,1082,259.01724599985164,259.01724599985164,0.0,9.979572772979736
single_small,40,0.3,1.2,1.2,80,1083,260.84860965898656,260.84860965898656,0.0,10.17543625831604
single_small,40,0.3,1.2,1.2,150,1084,259.4236533681669,259.4236533681669,0.0,25.192118167877197
single_small,40,0.3,1.2,1.2,150,1085,259.1175554056575,259.1175554056575,0.0,18.534236192703247
single_small,40,0.3,1.2,1.2,150,1086,259.6181657544226,259.6181657544226,0.0,17.866955041885376
single_small,40,0.3,1.2,1.2,250,1087,258.4194850564825,258.4194850564825,0.0,31.095470190048218
single_small,40,0.3,1.2,1.2,250,1088,258.9551710747724,258.9551710747724,0.0,29.954538106918335
single_small,40,0.3,1.2,1.2,250,1089,258.53388109029237,258.53388109029237,0.0,33.2207932472229
single_small,40,0.3,1.7,1.7,80,1090,261.4483495376263,261.4483495376263,0.0,10.139973163604736
single_small,40,0.3,1.7,1.7,80,1091,264.1044143584648,264.1044143584648,0.0,9.347057104110718
single_small,40,0.3,1.7,1.7,80,1092,262.34405068559795,262.34405068559795,0.0,10.233744859695435
single_small,40,0.3,1.7,1.7,150,1093,264.10634141604964,264.10634141604964,0.0,18.793304204940796
single_small,40,0.3,1.7,1.7,150,1094,261.3064749270758,261.3064749270758,0.0,18.937705039978027
single_small,40,0.3,1.7,1.7,150,1095,260.0262206904492,260.0262206904492,0.0,18.970396757125854
single_small,40,0.3,1.7,1.7,250,1096,258.7165049522421,258.7165049522421,0.0,35.79169797897339
single_small,40,0.3,1.7,1.7,250,1097,260.2028935227387,260.2028935227387,0.0,30.92140293121338
single_small,40,0.3,1.7,1.7,250,1098,258.986867899105,258.986867899105,0.0,32.50806975364685
single_small,40,0.3,2.2,2.2,80,1099,266.83233793905976,266.83233793905976,0.0,11.684338092803955
single_small,40,0.3,2.2,2.2,80,1100,264.3619214092029,264.3619214092029,0.0,11.836163759231567
single_small,40,0.3,2.2,2.2,80,1101,267.33856864383176,267.33856864383176,0.0,11.74380898475647
single_small,40,0.3,2.2,2.2,150,1102,277.7918876824012,277.7918876824012,0.0,19.469976902008057
single_small,40,0.3,2.2,2.2,150,1103,261.8413517227754,261.8413517227754,0.0,20.177961826324463
single_small,40,0.3,2.2,2.2,150,1104,266.4584233761866,266.4584233761866,0.0,18.83837389945984
single_small,40,0.3,2.2,2.2,250,1105,269.53563218390804,269.53563218390804,0.0,30.71934485435486
single_small,40,0.3,2.2,2.2,250,1106,263.80838148730277,263.80838148730277,0.0,31.42153000831604
single_small,40,0.3,2.2,2.2,250,1107,261.9991417764738,261.9991417764738,0.0,32.2114040851593
single_small,40,0.5,1.2,1.2,80,1108,261.88932410610306,261.88932410610306,0.0,10.296884059906006
single_small,40,0.5,1.2,1.2,80,1109,258.80657784764037,258.80657784764037,0.0,9.556496143341064
single_small,40,0.5,1.2,1.2,80,1110,261.08966903060167,261.08966903060167,0.0,9.474043846130371
single_small,40,0.5,1.2,1.2,150,1111,259.45737787715547,259.45737787715547,0.0,19.69469690322876
single_small,40,0.5,1.2,1.2,150,1112,259.75964578977016,259.75964578977016,0.0,19.036000728607178
single_small,40,0.5,1.2,1.2,150,1113,261.5940250484257,261.5940250484257,0.0,18.263442277908325
single_small,40,0.5,1.2,1.2,250,1114,258.93507866870544,258.93507866870544,0.0,30.42807388305664
single_small,40,0.5,1.2,1.2,250,1115,259.58234398782344,259.58234398782344,0.0,31.479170083999634
single_small,40,0.5,1.2,1.2,250,1116,258.649095254353,258.649095254353,0.0,30.863176822662354
single_small,40,0.5,1.7,1.7,80,1117,268.38629713956715,268.38629713956715,0.0,9.72627305984497
single_small,40,0.5,1.7,1.7,80,1118,263.28044391732726,263.28044391732726,0.0,13.202510833740234
single_small,40,0.5,1.7,1.7,80,1119,268.31765521528126,268.31765521528126,0.0,10.628216981887817
single_small,40,0.5,1.7,1.7,150,1120,263.3133915097035,263.3133915097035,0.0,18.84303903579712
single_small,40,0.5,1.7,1.7,150,1121,267.2655971479501,267.2655971479501,0.0,19.060109853744507
single_small,40,0.5,1.7,1.7,150,1122,266.37348873963435,266.37348873963435,0.0,19.3159339427948
single_small,40,0.5,1.7,1.7,250,1123,265.2838965557702,265.2838965557702,0.0,30.851386070251465
